Individual,Fitness
(-0.75*((pair_expected_work_power+(machine_capacity-machine_cooldown))*(-5.5--1.25))),375.27351439351486
((-0.75*((pair_expected_work_power+(machine_capacity>machine_cooldown))*((job_relative_deadline>machine_cooldown)--1.25)))*((pair_expected_work_power-((machine_processing_cost_fixed*pair_expected_work_power)*machine_cooldown))*(((job_relative_deadline>job_relative_deadline)>pair_expected_work_power)--1.25))),377.1381461065473
(-0.75-(pair_expected_work_power*((machine_processing_energy_fixed-pair_expected_work_power)--1.25))),379.0225552695528
(-0.75*((pair_expected_work_power+((machine_processing_cost_fixed*pair_expected_work_power)>machine_cooldown))*(((job_relative_deadline>6.5)>pair_expected_work_power)-(pair_expected_work_power/-5.0)))),381.7149574579368
(-0.75*((pair_expected_work_power+((machine_processing_cost_fixed*(pair_expected_work_power/machine_cooldown))>machine_cooldown))*((job_relative_deadline>pair_expected_work_power)--1.25))),385.54165616998097
(-0.75*((pair_expected_work_power+(machine_processing_energy_fixed>machine_cooldown))*(((machine_processing_cost_per_second+job_relative_deadline)>pair_expected_work_power)-2.75))),385.54165616998097
(-0.75*((pair_expected_work_power+((-0.75*(pair_number_of_alternative_machines>pair_expected_work_power))>machine_cooldown))*(((job_relative_deadline>(machine_capacity+pair_expected_work_power))>pair_expected_work_power)--1.25))),385.54165616998097
(-0.75*((pair_expected_work_power+(machine_processing_energy_fixed>machine_cooldown))*(((machine_processing_cost_per_second+job_relative_deadline)>pair_expected_work_power)--1.25))),385.54165616998097
(-0.75*((pair_expected_work_power+((machine_processing_cost_fixed*(pair_number_of_alternative_machines/machine_processing_cost_fixed))>machine_cooldown))*(((job_relative_deadline>6.5)>pair_expected_work_power)--1.25))),385.54165616998097
(-0.75*((pair_expected_work_power+((machine_processing_cost_fixed*machine_processing_cost_fixed)>machine_cooldown))*(((job_relative_deadline>job_relative_deadline)>pair_expected_work_power)--1.25))),385.54165616998097
(-0.75*((pair_expected_work_power+((machine_processing_cost_fixed*(pair_expected_work_power/(job_remaining_number_of_operations+machine_replacement_cooldown)))>machine_cooldown))*(((job_relative_deadline>6.5)>pair_expected_work_power)--1.25))),385.54165616998097
(-0.75*((pair_expected_work_power+((machine_processing_cost_fixed*(pair_number_of_alternative_machines/((-1.75>(((pair_expected_work_power+(machine_capacity>machine_cooldown))*((job_relative_deadline>-3.25)--1.25))/(warehouse_utilization_rate*(machine_processing_cost_per_second>((machine_replacement_cooldown>(pair_number_of_alternative_operations/-5.0))>pair_expected_work_power)))))*(machine_processing_cost_per_second>(((-1.75>4.5)>(pair_number_of_alternative_operations/(pair_number_of_alternative_machines/machine_processing_cost_fixed)))>pair_expected_work_power)))))>machine_cooldown))*(((job_relative_deadline>6.5)>pair_expected_work_power)--1.25))),385.54165616998097
(-0.75*(((((-1.75>4.5)>((machine_processing_cost_fixed*(pair_number_of_alternative_machines/((-1.75>(machine_capacity/(warehouse_utilization_rate*(machine_processing_cost_per_second>((machine_replacement_cooldown>(pair_number_of_alternative_operations/-5.0))>pair_expected_work_power)))))*(machine_processing_cost_per_second>((pair_expected_work_power>(pair_number_of_alternative_operations/(pair_number_of_alternative_machines/machine_processing_cost_fixed)))>pair_expected_work_power)))))/-5.0))>pair_expected_work_power)+(4.5>machine_cooldown))*(((job_relative_deadline>6.5)>pair_expected_work_power)--6.75))),385.54165616998097
(-0.75*((pair_expected_work_power+((machine_processing_cost_fixed*machine_processing_cost_fixed)>(machine_capacity>machine_cooldown)))*(((job_relative_deadline>warehouse_utilization_rate)>pair_expected_work_power)-9.75))),385.54165616998097
