Step,Individual,Fitness
1,(((6.5*(-5.0<job_relative_deadline))<((6.0+(job_relative_deadline/job_starting_number_of_operations))<operation_work_required))+(machine_capacity*(job_remaining_number_of_operations+pair_expected_work_power))),411.8122304511351
1,(-5.75-7.25),450.77616633291717
1,(machine_cooldown/(0.5<(operation_windup/((machine_capacity<machine_current_breakdown_rate)/(machine_current_breakdown_rate<machine_capacity))))),416.7321013471359
1,((machine_cooldown-operation_windup)+job_remaining_number_of_operations),484.11522305247877
1,(pair_number_of_alternative_machines*machine_capacity),438.8111826691352
1,(machine_cooldown/(machine_replacement_cooldown+pair_expected_work_power)),429.3688128454623
1,(machine_cooldown*machine_replacement_cooldown),419.25688113103666
1,(pair_expected_work_power*(operation_windup*machine_cooldown)),435.3297867094215
1,(((job_remaining_work_to_complete>-3.5)-job_remaining_work_to_complete)-pair_number_of_alternative_operations),431.10598042184165
1,(job_remaining_work_to_complete<pair_number_of_alternative_machines),426.20979661546926
1,(((((machine_current_breakdown_rate/machine_processing_cost_per_second)/machine_processing_cost_fixed)*((operation_cooldown-machine_processing_energy_fixed)>job_relative_deadline))+-5.5)/((machine_processing_energy_per_second*job_remaining_number_of_operations)/machine_cooldown)),482.41933986674076
1,(machine_cooldown>machine_processing_energy_fixed),451.06898501185924
1,((machine_cooldown+(job_remaining_number_of_operations-job_relative_deadline))+machine_cooldown),497.1232779439219
1,(-9.25-operation_work_required),480.35213927602297
1,((((-9.25>warehouse_utilization_rate)>((machine_current_breakdown_rate-machine_processing_energy_fixed)>(pair_expected_work_power-job_remaining_number_of_operations)))<pair_expected_work_power)>(((operation_cooldown>(warehouse_utilization_rate<warehouse_utilization_rate))>(job_starting_number_of_operations+machine_capacity))<6.0)),485.40780325838455
1,(machine_current_breakdown_rate/operation_windup),433.03686875133326
1,(-5.5/warehouse_utilization_rate),450.77616633291717
1,(((-1.25<(pair_expected_work_power<job_relative_deadline))>(((-1.5+pair_number_of_alternative_machines)<(operation_cooldown*job_remaining_number_of_operations))*(-0.75>(machine_cooldown>machine_processing_energy_fixed))))/((operation_windup<pair_expected_work_power)<((9.0*operation_cooldown)<job_starting_number_of_operations))),408.4571763282571
1,((0.25-4.0)<(1.25-(machine_capacity/warehouse_utilization_rate))),431.87798534614575
1,(((((warehouse_utilization_rate>0.75)*operation_cooldown)/(job_relative_deadline*(job_remaining_number_of_operations>-5.25)))>job_relative_deadline)-((((job_remaining_work_to_complete>machine_processing_energy_per_second)+-8.75)*pair_expected_processing_time)+(((job_starting_number_of_operations<job_starting_number_of_operations)+-8.0)>((-1.0-machine_processing_energy_fixed)>(operation_cooldown>machine_processing_energy_per_second))))),443.2049562206997
1,(((job_remaining_number_of_operations+operation_work_required)*machine_cooldown)>-3.0),470.0164387008713
1,(((-3.5-(9.5-(pair_expected_work_power<operation_work_required)))/machine_replacement_cooldown)-operation_work_required),444.79283988857964
1,((pair_expected_processing_time+(pair_number_of_alternative_machines+((machine_processing_energy_per_second<machine_processing_cost_fixed)+(8.0>-4.25))))+machine_replacement_cooldown),429.909650451793
1,(pair_expected_processing_time*((((-9.25*machine_current_breakdown_rate)/pair_number_of_alternative_machines)+((operation_work_required*job_remaining_work_to_complete)/-8.5))<(job_remaining_number_of_operations*(machine_capacity/pair_number_of_alternative_operations)))),429.7325124320329
1,((job_starting_number_of_operations-(7.25/(job_remaining_work_to_complete*machine_cooldown)))<(-8.75-((pair_expected_work_power/(machine_capacity/-3.5))/(machine_current_breakdown_rate<machine_processing_energy_fixed)))),470.237047556253
1,(machine_capacity>((5.75-8.0)-warehouse_utilization_rate)),426.21506890006805
1,(-8.25+machine_processing_energy_fixed),448.2205686949556
1,(2.5*((((machine_capacity/warehouse_utilization_rate)>7.75)-machine_cooldown)<((operation_work_required-(operation_cooldown/operation_cooldown))<(4.25<9.75)))),493.20647838200273
1,(machine_processing_cost_fixed<machine_processing_cost_per_second),415.58683179488173
1,(7.0<(job_remaining_number_of_operations>(operation_windup-(machine_cooldown>-8.25)))),456.7232018117661
1,(operation_cooldown<job_relative_deadline),481.39448414474
1,((operation_cooldown/machine_processing_energy_fixed)/(pair_number_of_alternative_operations<((4.75*(0.5-machine_current_breakdown_rate))+machine_processing_cost_fixed))),413.33208084578865
1,((2.5>job_remaining_number_of_operations)/pair_expected_work_power),493.4461685218619
1,(pair_expected_work_power>9.75),422.4989133791111
1,(pair_expected_processing_time+machine_capacity),469.03991956803276
1,(7.5-((((3.75/machine_cooldown)>(operation_cooldown-machine_capacity))<8.25)-pair_expected_work_power)),435.5581095783121
1,(-0.75*((-3.25>(-1.5-(machine_processing_cost_per_second+warehouse_utilization_rate)))>job_relative_deadline)),450.6659163206341
1,((operation_cooldown/machine_capacity)-machine_processing_cost_fixed),460.0645072138559
1,((machine_processing_energy_per_second/7.75)*operation_windup),449.08281060370285
1,(machine_processing_energy_per_second*machine_replacement_cooldown),450.4304247378627
