Epoch,Example,AutoencodedExample,Accuracy
4,job_delivery_relaxation*{13.0}*{-8.0}>{-6.0}-{-8.0}<{12.0}>machine_current_breakdown_rate+{-7.0}-{6.0}+{-3.0}-{5.0}/job_earliness_penalty+{13.0}+{13.0}-operation_windup-{11.0}EOS,pair_number_of_alternative_machines{12.0}{8.0}{-5.0}{12.0}NULL{1.5}{-11.5}{6.0}{12.5}{15.0}{-7.0}{1.0}{12.5}{9.5}{-6.0}{9.5}pair_expected_processing_time{-12.5}EOS{-12.0}{1.0}{-11.0}operation_work_required{13.0}{-13.0}{3.0}{-9.5}{-2.5}{-4.0}pair_number_of_alternative_machines{10.0},0.03125
5,job_delivery_relaxation*{13.0}*{-8.0}>{-6.0}-{-8.0}<{12.0}>machine_current_breakdown_rate+{-7.0}-{6.0}+{-3.0}-{5.0}/job_earliness_penalty+{13.0}+{13.0}-operation_windup-{11.0}EOS,pair_number_of_alternative_machines{-1.0}{8.0}{-6.0}{12.0}{6.5}{-2.0}{-11.5}{6.0}EOS{-6.5}{7.0}{1.0}{12.5}operation_work_requiredpair_expected_work_power{9.5}pair_expected_processing_time{-12.5}EOS{-12.0}{1.0}{-11.0}operation_work_required{13.0}{-13.0}{3.0}{-9.5}{-2.5}{-4.0}job_earliness_penaltyEOS,0.0625
4,job_delivery_relaxation+{-12.0}+{14.0}*job_time_alive-{14.0}+job_remaining_number_of_operations<{5.0}/{-12.0}+{13.0}>{0.0}-{2.0}>{8.0}-{3.0}-{-2.0}*{6.0}*{-3.0}EOS,pair_number_of_alternative_machines{-6.5}{8.0}{-6.0}{-3.0}NULL{-4.5}{-15.0}{6.0}{12.5}job_earliness_penalty{-6.0}pair_number_of_alternative_operations>{-10.5}{-13.0}machine_cooldownNULL*pair_expected_processing_time{-12.0}{1.0}{6.5}operation_work_required{4.5}{6.5}{3.0}{-9.5}{-2.5}{10.5}{10.0}{-15.0},0.0
5,job_delivery_relaxation+{-12.0}+{14.0}*job_time_alive-{14.0}+job_remaining_number_of_operations<{5.0}/{-12.0}+{13.0}>{0.0}-{2.0}>{8.0}-{3.0}-{-2.0}*{6.0}*{-3.0}EOS,{-14.5}{-6.5}{8.0}{-6.0}{-3.0}NULL{-4.5}{-15.0}{6.0}{12.5}job_earliness_penalty{7.0}pair_number_of_alternative_operations>{-10.5}{-13.0}machine_cooldownmachine_capacity{-15.0}{12.5}{-12.0}{1.0}{-9.5}operation_work_required{4.5}{6.5}{-9.0}{-9.5}{-2.5}{10.5}{10.0}{-7.5},0.0
4,job_delivery_relaxation+{-2.0}+job_remaining_work_to_complete/{-9.0}-{6.0}-job_remaining_number_of_operations+{-13.0}+machine_capacity<{4.0}-machine_capacity<{-10.0}>{1.0}*{-3.0}/{-6.0}-{12.0}>{-5.0}EOS,{-14.5}{-6.5}{8.0}{-14.5}{12.0}{-4.0}NULL{8.0}NULL{7.5}{-9.5}{-6.0}{1.0}{7.0}operation_work_required{-6.0}{-14.0}pair_expected_processing_time{-12.5}{12.5}{-12.0}{1.0}{11.0}operation_work_required{13.0}{7.5}{3.0}{-9.5}{-2.5}{14.0}{2.5}{-15.0},0.0
5,job_delivery_relaxation+{-2.0}+job_remaining_work_to_complete/{-9.0}-{6.0}-job_remaining_number_of_operations+{-13.0}+machine_capacity<{4.0}-machine_capacity<{-10.0}>{1.0}*{-3.0}/{-6.0}-{12.0}>{-5.0}EOS,{-14.5}{7.5}{8.0}{-14.5}{12.0}job_earliness_penalty{-4.0}{8.0}{6.0}{12.5}{-9.5}{-6.0}{1.0}machine_cooldownoperation_work_required{-6.0}machine_cooldown{6.5}{-12.5}EOS{-12.0}{1.0}{11.0}<{13.0}{-13.0}{3.0}{-9.5}{-2.5}operation_work_requiredjob_delivery_relaxation{-4.5},0.03125
4,job_delivery_relaxation<{9.0}<{2.0}>{-5.0}*{-3.0}/{2.0}/job_lateness_penalty<{1.0}<{-4.0}>{9.0}/job_delivery_relaxation/{-7.0}/{7.0}+job_time_alive/{13.0}<{-3.0}EOS,pair_number_of_alternative_machinesjob_lateness_penalty{8.0}{-6.5}{12.0}job_earliness_penalty{-10.0}>{-3.0}{12.5}pair_number_of_alternative_machines{13.5}{14.0}>job_earliness_penalty{9.0}{5.0}pair_expected_processing_time{-12.5}{12.5}{-12.0}{1.0}{6.5}operation_work_requiredoperation_cooldown{-13.0}{-9.0}{-9.5}{-2.5}{10.5}{2.5}EOS,0.0625
5,job_delivery_relaxation<{9.0}<{2.0}>{-5.0}*{-3.0}/{2.0}/job_lateness_penalty<{1.0}<{-4.0}>{9.0}/job_delivery_relaxation/{-7.0}/{7.0}+job_time_alive/{13.0}<{-3.0}EOS,pair_number_of_alternative_machinesjob_lateness_penalty{8.0}{-6.5}{12.0}job_earliness_penaltyjob_lateness_penalty>{-3.0}{12.5}job_earliness_penalty{7.0}{14.0}>operation_work_required{9.0}machine_cooldownjob_relative_deadline{-12.5}EOS{-12.0}{1.0}{6.5}{1.0}{4.5}{-13.0}{4.0}{-9.5}{-2.5}{10.5}pair_number_of_alternative_machinesEOS,0.0625
4,job_delivery_relaxation>{-12.0}<{-6.0}*{-1.0}<{7.0}<{-2.0}+{-8.0}*{-11.0}>{4.0}/{-12.0}/{-10.0}*{-5.0}+{-12.0}*warehouse_utilization_rate<{2.0}+{-14.0}EOS,machine_cooldown{-6.5}{8.0}{-5.0}{-13.5}NULLNULL{-15.0}{6.0}{12.5}{-9.0}{-1.0}{14.0}machine_cooldownjob_earliness_penalty{-13.0}{0.5}pair_expected_processing_time{-12.5}{12.5}{-12.0}{1.0}{11.0}operation_work_requiredpair_expected_processing_time{6.5}{3.0}{-9.5}{-2.5}{14.0}{2.5}{4.0},0.0
5,job_delivery_relaxation>{-12.0}<{-6.0}*{-1.0}<{7.0}<{-2.0}+{-8.0}*{-11.0}>{4.0}/{-12.0}/{-10.0}*{-5.0}+{-12.0}*warehouse_utilization_rate<{2.0}+{-14.0}EOS,machine_cooldown<{8.0}{-14.5}{-13.5}job_earliness_penaltyNULL{-8.5}{6.0}{12.5}job_earliness_penaltymachine_capacity{14.0}machine_cooldownoperation_work_required{-13.0}{0.5}pair_expected_processing_time{-12.5}{2.5}{-12.0}{1.0}{11.0}<{11.5}{6.5}{-9.0}{-9.5}{-2.5}{14.0}{10.0}{4.0},0.0
4,job_delivery_relaxation>{-15.0}<{-3.0}+{4.0}/{-1.0}/{-1.0}<operation_windup/machine_capacity+machine_cooldown/{-14.0}>pair_expected_work_power*{-7.0}*{0.0}-{-5.0}<{-10.0}/{-15.0}EOS,pair_number_of_alternative_machines{-6.5}{8.0}{-5.0}{12.0}{-4.0}NULL{1.5}{-3.0}{7.5}{5.5}{7.0}{14.0}machine_cooldownoperation_work_requiredpair_expected_work_power{5.0}NULL{-12.5}{12.5}{-12.0}{1.0}{1.5}operation_work_required{13.0}machine_capacity{3.0}{-9.5}{-2.5}{-4.0}{2.5}{-15.0},0.0
5,job_delivery_relaxation>{-15.0}<{-3.0}+{4.0}/{-1.0}/{-1.0}<operation_windup/machine_capacity+machine_cooldown/{-14.0}>pair_expected_work_power*{-7.0}*{0.0}-{-5.0}<{-10.0}/{-15.0}EOS,pair_number_of_alternative_machines{-6.5}{8.0}{7.5}{12.0}{-4.0}NULL{8.0}{-3.0}EOSjob_earliness_penalty{7.0}{14.0}machine_cooldownoperation_work_requiredpair_expected_work_powermachine_cooldownNULL{-12.5}{12.5}{-12.0}{1.0}{1.5}operation_work_required{11.5}machine_capacity{4.0}{-9.5}{-2.5}{-4.0}>{4.0},0.03125
4,job_delivery_relaxation>{9.0}-job_earliness_penalty/{-3.0}<{-4.0}-{2.0}*{6.0}/{0.0}/{12.0}*{-10.0}*machine_capacity-{12.0}-{-13.0}-{0.0}<{-12.0}-{-5.0}EOS,pair_number_of_alternative_machines{-6.5}{8.0}{-14.5}{12.0}NULLNULLjob_remaining_work_to_complete{6.0}{7.5}{-9.5}{-6.0}{14.0}machine_replacement_cooldownoperation_work_required{-6.0}machine_cooldownpair_expected_processing_time{-12.5}{4.0}{-12.0}{1.0}{11.0}operation_work_requiredoperation_cooldown{-13.0}{3.0}{-9.5}{-2.5}{10.5}{2.5}EOS,0.03125
5,job_delivery_relaxation>{9.0}-job_earliness_penalty/{-3.0}<{-4.0}-{2.0}*{6.0}/{0.0}/{12.0}*{-10.0}*machine_capacity-{12.0}-{-13.0}-{0.0}<{-12.0}-{-5.0}EOS,>){8.0}{12.0}{12.0}job_time_aliveNULLjob_remaining_work_to_complete{6.0}EOSjob_earliness_penalty{-6.0}{14.0}machine_cooldownoperation_work_required{-13.0}machine_cooldownpair_expected_processing_time{-12.5}{12.5}{-12.0}{1.0}{1.5}operation_work_requiredoperation_cooldown{-13.0}{3.0}{-9.5}machine_cooldown{10.5}>EOS,0.03125
4,job_earliness_penalty*machine_current_breakdown_rate<{2.0}+job_relative_deadline-{-13.0}*{3.0}+{-3.0}-{-4.0}+{0.0}>{11.0}-{0.0}+{-11.0}+{6.0}-job_lateness_penalty<{11.0}+{3.0}EOS,pair_number_of_alternative_machinesjob_lateness_penalty{8.0}{-6.0}{-3.0}{-4.0}NULL{1.5}{-3.0}{12.5}job_earliness_penalty{-6.0}{14.0}machine_cooldown{9.5}{-6.0}machine_cooldownNULL{-12.5}{4.0}{-12.0}{1.0}{11.0}operation_work_requiredpair_expected_processing_timemachine_capacity{3.0}{-9.5}{-2.5}{-4.0}{2.5}{10.0},0.0
5,job_earliness_penalty*machine_current_breakdown_rate<{2.0}+job_relative_deadline-{-13.0}*{3.0}+{-3.0}-{-4.0}+{0.0}>{11.0}-{0.0}+{-11.0}+{6.0}-job_lateness_penalty<{11.0}+{3.0}EOS,pair_number_of_alternative_machinesjob_lateness_penalty{8.0}{-6.0}{-3.0}job_earliness_penaltyNULL{1.5}{-3.0}{12.5}job_earliness_penalty{-6.0}pair_number_of_alternative_operations{5.5}operation_work_required{-6.0}machine_cooldownjob_relative_deadline{-12.5}job_earliness_penalty{-12.0}{1.0}{11.0}operation_work_required{4.5}machine_capacity{3.0}{-9.5}job_relative_deadline{-4.0}{10.0}{10.0},0.0
4,job_earliness_penalty+pair_expected_processing_time<{14.0}+{-11.0}-{-9.0}*{-5.0}+job_lateness_penalty>{-5.0}<{-12.0}<{3.0}<{10.0}/{10.0}*{2.0}<{10.0}-{-6.0}-{4.0}EOS,{-14.5}{-6.5}{8.0}{-5.0}{12.0}{14.0}{-4.5}{1.5}{-7.0}{12.5}pair_number_of_alternative_machines{4.5}{1.0}>{14.5}{9.0}machine_cooldownpair_expected_processing_time{-12.5}{12.5}{-12.0}{1.0}>operation_work_required{-9.0}{-13.0}{3.0}{-9.5}{-2.5}{10.5}{10.0}EOS,0.0625
5,job_earliness_penalty+pair_expected_processing_time<{14.0}+{-11.0}-{-9.0}*{-5.0}+job_lateness_penalty>{-5.0}<{-12.0}<{3.0}<{10.0}/{10.0}*{2.0}<{10.0}-{-6.0}-{4.0}EOS,{-14.5}job_lateness_penalty{8.0}{13.0}job_time_alive{14.0}{-2.0}>{6.0}{-6.5}{-9.5}{13.5}{14.0}>{7.0}{9.0}machine_cooldownmachine_capacity{-12.5}EOS{-12.0}{1.0}{4.5}operation_work_required{-9.0}{-13.0}{-9.0}{-9.5}machine_cooldown{10.5}{10.0}EOS,0.0625
4,job_earliness_penalty/operation_windup/{13.0}/operation_cooldown-{-7.0}<{-1.0}/{7.0}+{-10.0}*{-7.0}>{14.0}*job_relative_deadline*{-10.0}>{15.0}*{3.0}-{4.0}-{6.0}EOS,pair_number_of_alternative_machines{-6.5}{8.0}{-5.0}{-13.5}NULL{-7.5}job_remaining_work_to_complete{6.0}{12.5}{5.5}{-6.0}{14.0}{-10.0}{-10.5}{-6.0}{-12.5}pair_number_of_alternative_operations{-12.5}{12.5}{-12.0}{1.0}{11.0}operation_work_required{3.5}{6.5}{3.0}{-9.5}{-2.5}{-1.0}{10.0}EOS,0.0625
5,job_earliness_penalty/operation_windup/{13.0}/operation_cooldown-{-7.0}<{-1.0}/{7.0}+{-10.0}*{-7.0}>{14.0}*job_relative_deadline*{-10.0}>{15.0}*{3.0}-{4.0}-{6.0}EOS,pair_number_of_alternative_machines{12.0}{8.0}{12.0}{12.0}pair_number_of_alternative_operations{-2.0}>{6.0}{12.5}{-9.5}{-6.0}{14.0}{-10.0}operation_work_required{-6.0}machine_cooldownjob_delivery_relaxation{-12.5}{2.5}{-12.0}{1.0}{11.0}<{13.0}{6.5}{3.0}{-9.5}{-2.5}{14.0}>EOS,0.0625
4,job_earliness_penalty<{-4.0}<{-11.0}<job_relative_deadline/{8.0}>{-13.0}>{-9.0}*{5.0}+job_delivery_relaxation<{2.0}<{14.0}+{-9.0}/{10.0}*machine_cooldown/{-11.0}+job_delivery_relaxationEOS,pair_number_of_alternative_machinesjob_lateness_penalty{8.0}{-5.0}{-12.0}{6.5}{1.5}<{-3.0}{12.5}job_earliness_penalty{-6.0}pair_number_of_alternative_operationsmachine_replacement_cooldown{5.5}{9.0}machine_capacitypair_expected_processing_time{-12.5}EOS{-12.0}{1.0}{11.0}operation_work_requiredpair_expected_processing_time{7.5}{-9.0}{11.0}job_relative_deadline{-4.0}{2.5}{-15.0},0.0
5,job_earliness_penalty<{-4.0}<{-11.0}<job_relative_deadline/{8.0}>{-13.0}>{-9.0}*{5.0}+job_delivery_relaxation<{2.0}<{14.0}+{-9.0}/{10.0}*machine_cooldown/{-11.0}+job_delivery_relaxationEOS,pair_number_of_alternative_machinesjob_lateness_penalty{8.0}{-5.0}{-12.0}{6.5}{14.0}>{-3.0}{12.5}job_earliness_penalty{-6.0}{14.0}{12.5}{5.5}{9.0}job_lateness_penaltymachine_capacity{-12.5}EOS{-12.0}{1.0}{4.5}operation_work_required{-14.0}{6.5}{-9.0}{-9.5}job_relative_deadline{-4.0}>{-7.5},0.0
4,job_earliness_penalty>machine_cooldown/{-3.0}<{-2.0}/{13.0}+{7.0}/{5.0}/job_delivery_relaxation-{-6.0}-{0.0}*{12.0}/machine_cooldown>{4.0}*operation_cooldown>{11.0}<{3.0}EOS,pair_number_of_alternative_machines{-6.5}{8.0}{-5.0}{-13.5}job_earliness_penalty{13.5}{6.0}{-3.0}{12.5}{-9.5}{-1.0}{1.0}>operation_work_required{-6.5}machine_capacitypair_expected_processing_time{13.0}{12.5}{-12.0}operation_windup{11.0}operation_work_required{3.5}{-2.0}{3.0}{11.0}{-2.5}{14.0}{10.0}{4.0},0.0
5,job_earliness_penalty>machine_cooldown/{-3.0}<{-2.0}/{13.0}+{7.0}/{5.0}/job_delivery_relaxation-{-6.0}-{0.0}*{12.0}/machine_cooldown>{4.0}*operation_cooldown>{11.0}<{3.0}EOS,pair_number_of_alternative_machines<{8.0}{-5.0}{12.0}job_earliness_penaltyNULL{6.0}{-3.0}{12.5}job_earliness_penalty{-6.0}{14.0}job_earliness_penaltyoperation_work_required{-6.5}machine_cooldownpair_expected_processing_time{13.0}{2.5}{-12.0}{1.0}{1.5}operation_work_required{3.5}{-13.0}{3.0}{-9.5}{-2.5}{-4.0}>EOS,0.03125
4,job_lateness_penalty+machine_current_breakdown_rate-job_lateness_penalty-{-9.0}/{-1.0}-{-13.0}+job_lateness_penalty>job_relative_deadline-pair_number_of_alternative_machines<{-6.0}-{2.0}>{-5.0}/machine_replacement_cooldown*{12.0}*machine_current_breakdown_rate+job_remaining_number_of_operationsEOS,pair_number_of_alternative_machines{7.5}{8.0}{-5.0}{12.0}NULLNULLmachine_replacement_cooldown{-3.0}{12.5}{-9.0}{-6.0}NULL{7.0}operation_work_required{9.0}machine_cooldownpair_expected_processing_time{-12.5}{12.5}{-12.0}{1.0}{11.0}operation_work_required{13.0}{-13.0}{3.0}{-9.5}{-2.5}{-4.0}{10.0}{10.0},0.0
5,job_lateness_penalty+machine_current_breakdown_rate-job_lateness_penalty-{-9.0}/{-1.0}-{-13.0}+job_lateness_penalty>job_relative_deadline-pair_number_of_alternative_machines<{-6.0}-{2.0}>{-5.0}/machine_replacement_cooldown*{12.0}*machine_current_breakdown_rate+job_remaining_number_of_operationsEOS,pair_number_of_alternative_machines{7.5}{8.0}{-5.0}{12.0}NULL{-7.5}>{6.0}{12.5}{-9.0}{-6.0}{14.0}{5.5}operation_work_required{-13.0}machine_cooldownmachine_capacity{-12.5}{12.5}{-12.0}{1.0}{-9.5}operation_work_required{13.0}{-13.0}{3.0}{-9.5}{-2.5}{-4.0}{10.0}{10.0},0.0
4,job_lateness_penalty-{0.0}<{13.0}+machine_current_breakdown_rate+{14.0}-{6.0}>job_earliness_penalty<job_relative_deadline+{-9.0}+{3.0}>{7.0}/job_remaining_work_to_complete>{-11.0}/{-12.0}-warehouse_utilization_rate>{13.0}EOS,pair_number_of_alternative_machines-{8.0}{-15.0}{12.0}{-4.0}{-10.0}{-11.5}{6.0}{5.0}{5.5}{-6.0}pair_number_of_alternative_operations{12.5}operation_work_required{5.5}{9.5}{-2.5}{-12.5}{10.5}{10.5}{1.0}>operation_work_required{13.0}{7.5}{3.0}{3.5}{-2.5}job_time_alive{10.0}{-15.0},0.03125
5,job_lateness_penalty-{0.0}<{13.0}+machine_current_breakdown_rate+{14.0}-{6.0}>job_earliness_penalty<job_relative_deadline+{-9.0}+{3.0}>{7.0}/job_remaining_work_to_complete>{-11.0}/{-12.0}-warehouse_utilization_rate>{13.0}EOS,pair_number_of_alternative_machines-{8.0}{-15.0}{12.0}{-4.0}job_lateness_penalty>{6.0}{5.0}{5.5}{-6.0}machine_capacity{12.5}{5.5}{-3.5}machine_cooldown{-2.5}{-6.0}{10.5}{10.5}{1.0}>pair_number_of_alternative_operations{13.0}machine_capacity({3.5}machine_cooldown{14.5}{10.0}{-15.0},0.03125
