Epoch,Criterion_Weight_Raw,Criterion_Weight_Reduced,Train_Autoencoder_TotalDatapoints,Train_Encoder_Loss,Train_Autoencoder_Loss,Train_Autoencoder_Total_Criterion,Train_Autoencoder_Raw_Criterion,Train_Autoencoder_Reduced_Criterion,Train_Autoencoder_Valid,Train_Autoencoder_Accuracy,Train_Autoencoder_Perfects,Train_Encoder_LR,Train_Autoencoder_LR,Val_Autoencoder_TotalDatapoints,Val_Encoder_Loss,Val_Autoencoder_Loss,Val_Autoencoder_Total_Criterion,Val_Autoencoder_Raw_Criterion,Val_Autoencoder_Reduced_Criterion,Val_Autoencoder_Valid,Val_Autoencoder_Accuracy,Val_Autoencoder_Perfects,Example,AutoencodedExample
1,0.3000000113440546,0.6999999886559454,16384,0.0,1.8227231232449412,1.8227231232449412,3.347075065597892,1.169429398374632,0.0,0.3979454040527344,0.0,0.001,0.001,16384,0.0,1.4345532190054655,1.434553219305323,2.6081731747835875,0.9315732112154365,0.0,0.5541267395019531,0.0,{6.0}-{1.0}/{10.0}<{-8.0}-{15.0}/{-15.0}-warehouse_utilization_rate*{-4.0}<{-13.0}+{-11.0}/machine_current_breakdown_rate-{-10.0}/{-3.0}/{-2.0}/{13.0}>job_relative_deadlineEOS,pair_expected_work_power-{-2.0}/{13.0}<job_remaining_work_to_complete-machine_capacity/job_relative_deadline-warehouse_utilization_rate*job_relative_deadline<job_remaining_number_of_operations+machine_current_breakdown_rate/machine_current_breakdown_rate-job_remaining_number_of_operations/job_remaining_work_to_complete/job_delivery_relaxation/{5.0}>job_lateness_penaltyEOS
2,0.30693067390189493,0.6930693260981051,32768,0.0,1.229300809558481,1.229300809558481,2.2992463526315987,0.7554678260348737,0.0,0.5709342956542969,0.0,0.001,0.001,16384,0.0,0.979011163348332,0.9790111550186977,1.9217840689234436,0.5614974736236036,0.0,0.5895843505859375,0.0,{-11.0}<{-13.0}/{6.0}+{-4.0}*{5.0}<pair_expected_processing_time+job_remaining_number_of_operations/job_remaining_number_of_operations+machine_cooldown>{9.0}<{-9.0}*{-2.0}-{14.0}<{1.0}>{-11.0}*{4.0}EOS,machine_current_breakdown_rate<{11.0}/machine_cooldown+{7.0}*{6.0}<pair_expected_processing_time+job_remaining_number_of_operations/job_remaining_number_of_operations+machine_cooldown>machine_current_breakdown_rate<pair_expected_processing_time*job_remaining_work_to_complete-{-3.0}<pair_expected_processing_time>job_earliness_penalty*pair_number_of_alternative_operationsEOS
3,0.3137255116611142,0.6862744883388858,49152,0.0,0.8607900901697576,0.8607900901697576,1.7793213338591158,0.4408900511916727,0.0,0.5892868041992188,0.0,0.001,0.001,16384,0.0,0.6963251251727343,0.6963251271106361,1.5476391608826816,0.307152958586812,0.0,0.5960216522216797,0.0,{10.0}>{-14.0}*{0.0}+{-8.0}<pair_expected_work_power<{-5.0}+{15.0}+{14.0}/{-12.0}<pair_number_of_alternative_machines/{1.0}+{-3.0}<{9.0}*{8.0}<{2.0}<{-13.0}EOS,operation_windup>machine_current_breakdown_rate*{8.0}+machine_replacement_cooldown<pair_expected_work_power<{11.0}+operation_windup+job_remaining_work_to_complete/operation_work_required<pair_number_of_alternative_machines/{8.0}+{-4.0}<machine_cooldown*operation_work_required<machine_replacement_cooldown<job_delivery_relaxationEOS
4,0.3203883422104126,0.6796116577895874,65536,0.0,0.6441244180314243,0.6441244180314243,1.4941590181551874,0.2433938342728652,0.0,0.5937900543212891,0.0,0.001,0.001,16384,0.0,0.5371990583371371,0.5371990581832407,1.3340380783192813,0.16154638986336067,0.0,0.5998706817626953,0.0,{14.0}/{5.0}-{-11.0}-{-1.0}>{9.0}*{-6.0}>{14.0}/{-6.0}+job_delivery_relaxation*pair_expected_work_power<{11.0}+operation_cooldown/pair_expected_work_power<{0.0}-{-12.0}/{12.0}EOS,pair_expected_work_power/machine_current_breakdown_rate-{-3.0}-{6.0}>{3.0}*job_relative_deadline>pair_expected_work_power/machine_current_breakdown_rate+job_delivery_relaxation*pair_expected_work_power<machine_current_breakdown_rate+operation_cooldown/pair_expected_work_power<{-7.0}-machine_current_breakdown_rate/job_relative_deadlineEOS
5,0.32692307240605334,0.6730769275939467,81920,0.0,0.5167524134740233,0.5167524134740233,1.3132097609341145,0.12990170979173854,0.0,0.5983734130859375,0.0,0.001,0.001,16384,0.0,0.44576968532055616,0.4457696838207287,1.1887477417476475,0.0848946345213335,0.0,0.6075515747070312,0.0,{7.0}/operation_work_required<pair_expected_work_power-{9.0}<{12.0}-{3.0}<{4.0}<{11.0}+{-7.0}>{-8.0}>{-13.0}/pair_number_of_alternative_operations*{13.0}/{8.0}/{0.0}+{9.0}EOS,pair_number_of_alternative_machines/operation_work_required<pair_expected_work_power-operation_windup<{-10.0}-{0.0}<{-12.0}<{0.0}+{-14.0}>{0.0}>machine_capacity/pair_number_of_alternative_operations*machine_current_breakdown_rate/{2.0}/job_relative_deadline+pair_expected_processing_timeEOS
6,0.3333333424903109,0.6666666575096891,98304,0.0,0.4457335361512378,0.4457335361512378,1.205705821979791,0.06574737757910043,0.0,0.5978145599365234,0.0,0.001,0.001,16384,0.0,0.400539678754285,0.4005396791865868,1.1206496730446815,0.040484667420969345,0.0,0.6039028167724609,0.0,{-4.0}+{0.0}*{-1.0}>pair_expected_work_power-{-10.0}+{1.0}-{-1.0}*{4.0}-{5.0}<{10.0}<job_relative_deadline/{-3.0}+{0.0}+machine_cooldown+pair_expected_processing_time/{5.0}EOS,machine_capacity+{0.0}*warehouse_utilization_rate>pair_expected_work_power-job_earliness_penalty+job_relative_deadline-pair_number_of_alternative_machines*{-6.0}-{5.0}>job_lateness_penalty<job_relative_deadline/{-8.0}+operation_windup+machine_cooldown+pair_expected_processing_time/operation_cooldownEOS
7,0.3396226479024315,0.6603773520975684,114688,0.0,0.4258915273239836,0.4258915273239836,1.1968611953780055,0.029392829594144132,0.0,0.5814151763916016,0.0,0.001,0.001,16384,0.0,0.40294814680237323,0.40294814841015725,1.1555185173638165,0.015911947630229406,0.0,0.5803184509277344,0.0,{7.0}/{12.0}>job_relative_deadline>{7.0}/{0.0}+pair_expected_work_power/job_remaining_work_to_complete-{-9.0}+{-8.0}/{-9.0}>{5.0}*{-1.0}-operation_work_required>{-8.0}<{12.0}+{-6.0}EOS,pair_number_of_alternative_operations/job_time_alive>{-9.0}>job_time_alive/operation_cooldown+pair_expected_work_power/job_remaining_work_to_complete>pair_number_of_alternative_machines+machine_capacity/pair_expected_work_power>job_remaining_work_to_complete*machine_replacement_cooldown-operation_work_required>{13.0}<pair_number_of_alternative_operations+operation_cooldownEOS
8,0.3457943797243829,0.654205620275617,131072,0.0,0.44135422981344163,0.44135422981344163,1.2542147724889219,0.011699395850882865,0.0,0.5555629730224609,0.0,0.001,0.001,16384,0.0,0.41180905676446855,0.411809057262215,1.1799775469116867,0.005777164276878466,0.0,0.5669441223144531,0.0,{-1.0}/job_delivery_relaxation*{-3.0}>{1.0}*{-4.0}>pair_number_of_alternative_operations*{-5.0}<warehouse_utilization_rate+{4.0}-{2.0}/{2.0}/{-9.0}*{-10.0}-{10.0}*operation_windup/{-4.0}EOS,pair_number_of_alternative_operations/job_delivery_relaxation*operation_cooldown>machine_capacity*machine_capacity>pair_number_of_alternative_operations*operation_cooldown<warehouse_utilization_rate+machine_capacity-{-1.0}/machine_capacity/{-13.0}*machine_cooldown-job_lateness_penalty*job_relative_deadline/operation_work_requiredEOS
9,0.3518518511357969,0.6481481488642031,147456,0.0,0.4496310082031414,0.4496310082031414,1.2697946117259562,0.0043993391172989504,0.0,0.5464401245117188,0.0,0.001,0.001,16384,0.0,0.42848195403348655,0.42848195423457097,1.2137779761105776,0.002178400840421091,0.0,0.5566654205322266,0.0,{-2.0}-{-15.0}/{1.0}+machine_replacement_cooldown<{-15.0}>{4.0}<{4.0}/{-13.0}<{10.0}/pair_expected_work_power-{5.0}>{0.0}+{2.0}>{-9.0}-{-9.0}-{-1.0}EOS,job_relative_deadline-{0.0}/operation_work_required+machine_replacement_cooldown<job_remaining_number_of_operations>{-14.0}<pair_number_of_alternative_operations/{-2.0}<operation_cooldown/pair_expected_work_power-job_remaining_work_to_complete>job_remaining_work_to_complete+job_remaining_work_to_complete>machine_cooldown-pair_expected_work_power<job_delivery_relaxationEOS
10,0.35779815895256156,0.6422018410474384,163840,0.0,0.4465865964302793,0.4465865964302793,1.244917587377131,0.0018021991609202814,0.0,0.5490169525146484,0.0,0.001,0.001,16384,0.0,0.44201836560387164,0.44201836752940155,1.2336085606366396,0.000989557526736462,0.0,0.5539035797119141,0.0,{-14.0}-pair_expected_work_power/{-11.0}+pair_expected_processing_time*job_time_alive>{12.0}/{9.0}/{-4.0}/{-4.0}/job_lateness_penalty+{10.0}>{-9.0}*{-4.0}/{14.0}-{-5.0}+{9.0}EOS,machine_cooldown-pair_expected_work_power/job_time_alive+pair_expected_processing_time*job_time_alive>pair_number_of_alternative_operations/job_delivery_relaxation/pair_number_of_alternative_operations/{-14.0}/job_lateness_penalty+operation_windup>pair_number_of_alternative_operations*job_earliness_penalty/machine_cooldown-pair_expected_work_power+job_relative_deadlineEOS
