Epoch,Loss_Weight_L1,Loss_Weight_SmoothL1,Loss_Weight_L2,Train_Loss,Train_L1_Loss,Train_SmoothL1_Loss,Train_L2_Loss,Train_LR,Val_Loss,Val_L1_Loss,Val_SmoothL1_Loss,Val_L2_Loss
1,tensor(0.),tensor(1.),tensor(0.),198.5452695738506,236.88398406305924,198.5452695738506,230215.7446337169,0.001,161.37048306958428,196.18244727374298,161.37048306958428,195430.48787234453
2,tensor(0.),tensor(1.),tensor(0.),145.67644814082556,180.99191550668237,145.67644814082556,179208.26308497536,0.001,116.59873411338317,149.10087458605838,116.59873411338317,171902.20757966442
3,tensor(0.),tensor(1.),tensor(0.),108.30178740459122,141.758322680525,108.30178740459122,150996.90193319085,0.001,108.1505253115311,141.26712767126526,108.1505253115311,149062.18018901054
4,tensor(0.),tensor(1.),tensor(0.),98.53543050535794,132.29648089878665,98.53543050535794,133460.76088229776,0.001,103.44352176271636,137.1470837663547,103.44352176271636,146550.15095527537
5,tensor(0.),tensor(1.),tensor(0.),90.02512953903874,123.59277734145742,90.02512953903874,117604.15409482758,0.001,96.25519166439038,129.84868455520404,96.25519166439038,129343.86430561836
6,tensor(0.),tensor(1.),tensor(0.),82.32859974659135,115.65103649388394,82.32859974659135,102437.84762934041,0.001,90.91801125662667,123.49147475294292,90.91801125662667,113791.74563974465
7,tensor(0.),tensor(1.),tensor(0.),75.95524082219072,108.85937107842544,75.95524082219072,90277.91721738617,0.001,87.77161350860972,120.31634814163735,87.77161350860972,106367.28957784118
8,tensor(0.),tensor(1.),tensor(0.),69.09297913400998,101.3321955544608,69.09297913400998,78542.91611251455,0.001,76.89004649787114,106.45572804699978,76.89004649787114,98261.35035021552
9,tensor(0.),tensor(1.),tensor(0.),62.29023025922587,93.58386533248601,62.29023025922587,65680.50794682244,0.001,73.24003743890471,103.38084735306613,73.24003743890471,83747.43041811787
10,tensor(0.),tensor(1.),tensor(0.),57.64078985352822,88.27821253320853,57.64078985352822,56745.7465406897,0.001,71.42269918366605,103.10238966918344,71.42269918366605,77451.24927780076
11,tensor(0.),tensor(1.),tensor(0.),54.453160065441885,84.69309895379203,54.453160065441885,50464.20066194581,0.001,65.74564368501673,93.70541553309398,65.74564368501673,71623.87782926513
12,tensor(0.),tensor(1.),tensor(0.),52.23383024144055,82.22744655374235,52.23383024144055,46517.36249410695,0.001,73.6817929568549,109.05648014933017,73.6817929568549,68566.2468189559
13,tensor(0.),tensor(1.),tensor(0.),50.288423557293235,80.07131839033418,50.288423557293235,42948.23399044845,0.001,61.891332820131275,89.58140065517331,61.891332820131275,65520.71979120564
14,tensor(0.),tensor(1.),tensor(0.),48.25768572972913,77.71192027782571,48.25768572972913,40810.381048042786,0.001,61.67637450471887,89.24622183362838,61.67637450471887,64056.21262303244
15,tensor(0.),tensor(1.),tensor(0.),46.95933786871398,76.27920436506788,46.95933786871398,38751.191363254795,0.001,60.25810784189572,87.29617741307601,60.25810784189572,62105.06826316195
16,tensor(0.),tensor(1.),tensor(0.),45.495134201836706,74.58144126502164,45.495134201836706,36598.29677780978,0.001,59.408981696725476,86.43064289374892,59.408981696725476,62413.97615720251
17,tensor(0.),tensor(1.),tensor(0.),43.645776588341285,72.43469640069407,43.645776588341285,34526.77274063185,0.001,57.87716353115777,84.45775874377472,57.87716353115777,58959.69025169335
18,tensor(0.),tensor(1.),tensor(0.),42.7120410579766,71.2479782580155,42.7120410579766,34070.822114765935,0.001,60.59789189446736,91.9133523555812,60.59789189446736,57219.026152512124
19,tensor(0.),tensor(1.),tensor(0.),40.998585661056595,69.24061662810189,40.998585661056595,32067.737848516754,0.001,57.25037685521131,84.84883375120867,57.25037685521131,52921.45385321255
20,tensor(0.),tensor(1.),tensor(0.),40.63806751208939,68.86568547821985,40.63806751208939,31496.85882076019,0.001,56.37533923440379,82.02897138078812,56.37533923440379,57362.24076550113
21,tensor(0.),tensor(1.),tensor(0.),39.57485079677234,67.49331767570796,39.57485079677234,30247.817390780143,0.001,56.64823493581687,82.52911960197787,56.64823493581687,57959.607089939964
22,tensor(0.),tensor(1.),tensor(0.),38.6451045127925,66.45422281596461,38.6451045127925,29179.908988727137,0.001,56.66779383649967,84.6873491503335,56.66779383649967,54741.02823582541
23,tensor(0.),tensor(1.),tensor(0.),37.625078220525985,65.1655242525298,37.625078220525985,28320.643032882013,0.001,54.9052817128562,79.89134287951615,54.9052817128562,53429.5778604141
24,tensor(0.),tensor(1.),tensor(0.),36.80467406546541,64.14271146323293,36.80467406546541,27038.065426643258,0.001,54.042622535686775,79.39957001174025,54.042622535686775,51423.82390485491
25,tensor(0.),tensor(1.),tensor(0.),35.901656343431895,63.07537418515811,35.901656343431895,26134.453500531577,0.001,55.61333188634788,81.4745097371745,55.61333188634788,50928.248836724044
26,tensor(0.),tensor(1.),tensor(0.),35.51818847773698,62.48727557988003,35.51818847773698,26006.218223684526,0.001,54.37279124800207,80.58826907162596,54.37279124800207,52029.393985842245
27,tensor(0.),tensor(1.),tensor(0.),34.6022300598363,61.40041485091148,34.6022300598363,24795.41212042447,0.001,54.17927246375624,80.12704887765969,54.17927246375624,52283.20957488262
28,tensor(0.),tensor(1.),tensor(0.),33.93664967632059,60.581361884554035,33.93664967632059,23756.08725896375,0.001,53.55883898993431,78.10551605553462,53.55883898993431,51548.88945841672
