Epoch,Loss_Weight_L1,Loss_Weight_SmoothL1,Loss_Weight_L2,Train_Loss,Train_L1_Loss,Train_SmoothL1_Loss,Train_L2_Loss,Train_LR,Val_Loss,Val_L1_Loss,Val_SmoothL1_Loss,Val_L2_Loss,L2_Contribution_Individual,L2_Contribution_Seed_Embedding
1,0.0,1.0,0.0,162.54288913703996,182.29743906783,162.54288913703996,195882.88816037957,0.001,157.4641890727455,177.49228777458524,157.4641890727455,195271.72641953285,0.6299929022789001,0.37000709772109985
2,0.0,1.0,0.0,128.00227424495853,146.47498212494168,128.00227424495853,180140.31140209708,0.001,122.38024647418735,139.9025936388142,122.38024647418735,183250.97788750933,0.5951181650161743,0.40488189458847046
3,0.0,1.0,0.0,122.12760046436955,140.3209264309357,122.12760046436955,175615.1224897701,0.001,122.15188795708818,141.2257163469699,122.15188795708818,178370.64364272478,0.5819900035858154,0.41800999641418457
4,0.0,1.0,0.0,121.83037168798492,139.9453314508174,121.83037168798492,172691.7974629207,0.001,121.77267433360076,139.9360420680943,121.77267433360076,176059.27347381136,0.5611640810966492,0.4388359487056732
5,0.0,1.0,0.0,121.6284557975067,139.71356479416127,121.6284557975067,171069.35303960953,0.001,121.64731642455254,139.94569810593083,121.64731642455254,171838.98152491273,0.5729852318763733,0.4270147979259491
6,0.0,1.0,0.0,121.42423065595,139.46295384121512,121.42423065595,169918.342387288,0.001,121.48411593043654,139.1231405436732,121.48411593043654,171692.87180459863,0.5999681353569031,0.40003180503845215
7,0.0,1.0,0.0,121.18172597822546,139.13639447430714,121.18172597822546,168465.46511754923,0.001,121.36905408065498,139.09502338577408,121.36905408065498,178365.05441566303,0.6291542053222656,0.3708457350730896
8,0.0,1.0,0.0,120.97765919458801,138.85188114961244,120.97765919458801,167578.33188641057,0.001,121.14015239082575,138.93018124464407,121.14015239082575,167279.25868411548,0.6577465534210205,0.3422534167766571
9,0.0,1.0,0.0,120.6977986449383,138.42428245644572,120.6977986449383,166857.9043310376,0.001,121.15100524348328,138.71418612912083,121.15100524348328,169537.60615624546,0.677537739276886,0.32246220111846924
10,0.0,1.0,0.0,120.27630422135145,137.84525981345087,120.27630422135145,164896.91557487586,0.001,120.5636222752582,137.179522654794,120.5636222752582,168566.7032777214,0.6928663849830627,0.3071335554122925
11,0.0,1.0,0.0,119.963918092457,137.44568065138728,119.963918092457,163115.165380279,0.001,120.38312509714184,138.19405839018378,120.38312509714184,165433.9280678701,0.6988884210586548,0.3011115491390228
12,0.0,1.0,0.0,119.54474311189956,136.96217353924277,119.54474311189956,161000.67460996602,0.001,120.16515617615352,136.26709402779096,120.16515617615352,167936.75316898662,0.7002263069152832,0.2997737228870392
13,0.0,1.0,0.0,119.15829149877362,136.53362872132203,119.15829149877362,159726.89295346852,0.001,120.29123741087604,138.16814632866325,120.29123741087604,167975.39335946043,0.6988089680671692,0.3011910617351532
14,0.0,1.0,0.0,118.74143858040772,136.0654106009401,118.74143858040772,158837.38284992042,0.001,119.93932048333703,136.95528427106223,119.93932048333703,163025.99293124248,0.7007622718811035,0.29923781752586365
15,0.0,1.0,0.0,118.21378211382616,135.4996754931555,118.21378211382616,157875.7246172614,0.001,119.70611437933547,137.031779010291,119.70611437933547,167996.51082093336,0.7018980383872986,0.2981020510196686
16,0.0,1.0,0.0,117.59557857627473,134.85186019436827,117.59557857627473,156833.38046654963,0.001,119.64717941862669,136.26659278280013,119.64717941862669,167350.60333264412,0.7033721804618835,0.29662778973579407
17,0.0,1.0,0.0,116.87187625667488,134.081409140024,116.87187625667488,155732.39375337888,0.001,119.73771654353193,137.41846041319218,119.73771654353193,163398.86713993922,0.7073323726654053,0.2926676273345947
18,0.0,1.0,0.0,116.10369840140451,133.2866252900839,116.10369840140451,154523.26241368026,0.001,119.66947917765798,136.60589581364687,119.66947917765798,161273.5724293822,0.7129619121551514,0.28703805804252625
19,0.0,1.0,0.0,115.28185587247816,132.41946606985834,115.28185587247816,153572.54706644584,0.001,119.19581645332575,135.47897945503064,119.19581645332575,165259.75174394296,0.7169927954673767,0.2830071449279785
20,0.0,1.0,0.0,114.5077368063257,131.5979862140813,114.5077368063257,152108.2219204813,0.001,118.96643508895558,136.2659421371767,118.96643508895558,163271.63386140045,0.7218644618988037,0.27813541889190674
21,0.0,1.0,0.0,113.60763284953877,130.66945439461492,113.60763284953877,150875.1496898378,0.001,119.49250944865692,137.12690812848197,119.49250944865692,161394.0296477426,0.7293408513069153,0.2706592381000519
22,0.0,1.0,0.0,112.7859003451713,129.8020531817221,112.7859003451713,149760.3401072951,0.001,118.93674380273782,135.75854013598183,118.93674380273782,165530.18652479028,0.7343941330909729,0.2656058669090271
23,0.0,1.0,0.0,111.76477401681105,128.7353115741028,111.76477401681105,147609.60055805912,0.001,118.92641521313685,135.56033672011256,118.92641521313685,162370.9235421907,0.7387242317199707,0.2612757980823517
24,0.0,1.0,0.0,110.77857452004265,127.70324643554954,110.77857452004265,145964.60913523874,0.001,119.76789877594786,137.961546300764,119.76789877594786,159510.21309396872,0.746123731136322,0.2538761496543884
25,0.0,1.0,0.0,109.8434677410529,126.73035619334331,109.8434677410529,144752.41336780117,0.001,118.52365557130206,134.04656422398952,118.52365557130206,162981.74472901173,0.7535548806190491,0.24644513428211212
26,0.0,1.0,0.0,108.96482629610496,125.80137934023426,108.96482629610496,143185.11138537718,0.001,118.13293903636738,134.13443760330944,118.13293903636738,164787.81316585102,0.7582937479019165,0.24170629680156708
27,0.0,1.0,0.0,108.00874875755582,124.7886600733603,108.00874875755582,141610.12871800858,0.001,118.8125210720584,136.06689035388393,118.8125210720584,159049.41375513485,0.7647919654846191,0.2352079600095749
28,0.0,1.0,0.0,107.13014979763734,123.88632841695758,107.13014979763734,139825.28071969643,0.001,116.98055453952668,133.6036445137084,116.98055453952668,164668.2512508202,0.7694032192230225,0.23059673607349396
29,0.0,1.0,0.0,106.15982411737707,122.87042131155525,106.15982411737707,138175.34897004132,0.001,117.65281275417965,133.9634844918194,117.65281275417965,163411.63614773576,0.7747148871421814,0.22528508305549622
30,0.0,1.0,0.0,105.19365197693935,121.84095573258396,105.19365197693935,136309.03158920485,0.001,116.44946936582052,132.865965013568,116.44946936582052,162957.38445804626,0.7823429703712463,0.21765699982643127
31,0.0,1.0,0.0,104.42797856221694,121.05982501836773,104.42797856221694,135007.4489181939,0.001,118.53934504402451,134.80824852490363,118.53934504402451,159532.34347901744,0.7889286279678345,0.21107138693332672
32,0.0,1.0,0.0,103.66867140463565,120.27264915306088,103.66867140463565,133277.47173904034,0.001,117.65157976982093,134.270727333921,117.65157976982093,159753.1044219855,0.7943531274795532,0.20564687252044678
