Individual,Fitness_0,Fitness_25,Fitness_50,Fitness_75,Fitness_100,Fitness_125,Fitness_150,Fitness_175
job_delivery_relaxation-operation_work_required-job_time_alive*job_remaining_work_to_complete*machine_current_breakdown_rate/{6.0}<operation_cooldown+pair_expected_work_power/{-12.0}/job_remaining_number_of_operations>job_remaining_number_of_operations/operation_cooldown<machine_current_breakdown_rate-machine_replacement_cooldown>job_time_alive/job_remaining_number_of_operations,564.7223465055871,1564.7717971141085,373.9309254982379,847.23287536075,374.8472414103962,491.7416105960672,374.1918908472298,403.4688601365924
job_delivery_relaxation/{2.0}>pair_expected_processing_time+operation_windup+operation_work_required+job_time_alive+machine_replacement_cooldown*pair_number_of_alternative_operations*pair_number_of_alternative_operations*job_relative_deadline*{-15.0}+pair_number_of_alternative_operations<job_earliness_penalty/job_remaining_work_to_complete+{-7.0}/job_earliness_penalty,690.2204932833297,4432.874731844426,385.634800939419,1802.607672772576,382.7183915617024,663.6443839460112,399.7216786130948,521.4220331630129
job_earliness_penalty<job_remaining_work_to_complete>operation_cooldown<pair_number_of_alternative_operations-operation_windup/job_remaining_work_to_complete>machine_cooldown*machine_current_breakdown_rate*job_remaining_work_to_complete/job_earliness_penalty*machine_cooldown+job_time_alive<pair_expected_work_power<pair_number_of_alternative_operations*pair_expected_processing_time-pair_number_of_alternative_machines,517.7416380162775,1207.6298343969042,360.588029298966,806.797574382201,332.0869413684957,317.10298377249234,321.0971450323142,341.5727076208489
job_earliness_penalty<{2.0}-pair_number_of_alternative_operations/job_time_alive-job_remaining_work_to_complete<job_lateness_penalty/machine_cooldown+pair_number_of_alternative_machines>warehouse_utilization_rate*{-14.0}*operation_cooldown/{-2.0}-pair_number_of_alternative_operations/warehouse_utilization_rate/job_remaining_number_of_operations/operation_cooldown,323.5074087130048,743.3831333866322,341.13612446973644,365.3557858895451,336.8214184479353,340.6084655194551,337.555862189726,335.445561186256
job_remaining_work_to_complete<job_relative_deadline*job_lateness_penalty>job_relative_deadline/machine_cooldown/warehouse_utilization_rate-{-4.0}*job_remaining_work_to_complete+pair_expected_work_power+pair_expected_processing_time*{-8.0}/job_remaining_number_of_operations<machine_cooldown*machine_cooldown*job_relative_deadline*pair_expected_work_power,581.446426208818,1300.8467067777751,460.6833731938261,754.1459849894064,443.9665310198962,496.4921451471169,424.2723334976748,444.40337468081776
job_remaining_work_to_complete>job_earliness_penalty-machine_capacity>job_delivery_relaxation>machine_current_breakdown_rate*operation_windup<operation_windup+machine_capacity<operation_windup<machine_capacity+machine_current_breakdown_rate>machine_current_breakdown_rate+warehouse_utilization_rate*machine_replacement_cooldown<job_remaining_work_to_complete+operation_cooldown,315.4361327099581,396.2303112406669,340.19889313896283,299.168318088211,333.60468981516533,294.9372016639471,368.0576468844741,336.6181004490422
job_remaining_work_to_complete>pair_number_of_alternative_machines<warehouse_utilization_rate>operation_cooldown+operation_windup*{4.0}+{-12.0}>job_relative_deadline>{-14.0}*job_relative_deadline*operation_work_required-job_delivery_relaxation/job_lateness_penalty<machine_capacity>machine_capacity/job_remaining_work_to_complete,311.18539118382205,382.0138540742947,339.9396489667997,304.0327598180049,337.133086092755,281.28971374294,346.5382247892868,320.54262241753446
job_time_alive-{-5.0}*machine_cooldown*job_earliness_penalty+job_lateness_penalty+machine_capacity*pair_expected_work_power-pair_number_of_alternative_machines<{0.0}-job_lateness_penalty+machine_current_breakdown_rate/job_time_alive/machine_current_breakdown_rate-{-11.0}+machine_capacity>{13.0},507.375190245487,1716.2459496510785,349.1978656774824,764.9177087875755,341.1697060839466,397.8435979957029,338.9087777660338,342.273126156284
job_time_alive-{13.0}>job_delivery_relaxation/pair_number_of_alternative_machines-machine_current_breakdown_rate+job_earliness_penalty/pair_number_of_alternative_machines+{7.0}+pair_number_of_alternative_machines-pair_expected_processing_time>operation_work_required/pair_expected_processing_time>machine_replacement_cooldown>operation_cooldown>pair_number_of_alternative_operations<pair_expected_work_power,307.543694377987,397.7709500772893,346.66133140418987,294.12573699873263,340.4396986358649,312.2037561742823,342.25236048493537,339.20584169684605
job_time_alive/operation_windup-operation_cooldown>machine_capacity<pair_expected_processing_time<job_remaining_number_of_operations*{11.0}<operation_work_required*operation_windup>machine_replacement_cooldown>{4.0}-job_remaining_work_to_complete+machine_cooldown/machine_capacity>machine_capacity>operation_windup,529.3463872092876,1448.5436119850394,346.0569222092711,705.0361563953695,367.2134675362213,420.9090671326787,343.8665294951097,391.1572599125092
